NR_TURNO,SG_UF,SG_UE,NM_MUNICIPIO,NR_ZONA,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NM_PARTIDO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,DS_SIT_TOT_TURNO
1,RS,88021,TUPANCI DO SUL,103,Prefeito,CLODOMAR FERMINO SOARES,FOSCARINI,PSDB,Partido da Social Democracia Brasileira,REPUBLICANOS / PL / Federação PSDB CIDADANIA(PSDB/CIDADANIA),634,634,NÃO ELEITO
1,PB,21032,NOVA FLORESTA,24,Prefeito,ROBERTO PAULINO DA SILVA,BETO DE BALINHA,PP,PROGRESSISTAS,PP / PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),2808,2808,NÃO ELEITO
1,PB,20656,LAGOA DE DENTRO,60,Prefeito,JOSE PEDRO DA SILVA,ZEZINHO DA RAPADURA,PSB,Partido Socialista Brasileiro,PSB / PP,1968,1968,NÃO ELEITO
1,MG,45616,GUAPÉ,122,Prefeito,PEDRO LUIS SIMOES,DR PEDRO,PL,Partido Liberal,PP / MDB / PL / PRD / SOLIDARIEDADE,2721,2721,NÃO ELEITO
1,PR,78751,SÃO JOÃO DO IVAÍ,132,Prefeito,CARLA SUZI EMERENCIANO,CARLA,PSD,Partido Social Democrático,PP / REPUBLICANOS / PRD / MDB / PDT / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),3560,3560,NÃO ELEITO
1,SP,69833,RIO GRANDE DA SERRA,382,Prefeito,MARIA DA PENHA AGAZZI FUMAGALLI,PENHA,PSD,Partido Social Democrático,REPUBLICANOS / PP / PRTB / UNIÃO / PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),3554,3554,NÃO ELEITO
1,SP,66478,LOUVEIRA,345,Prefeito,ESTANISLAU STECK,ESTANISLAU STECK,PSD,Partido Social Democrático,PL / PODE / PSD / REPUBLICANOS,13923,13923,NÃO ELEITO
1,PI,11533,PARNAÍBA,3,Prefeito,JOSE HAMILTON FURTADO CASTELLO BRANCO,ZÉ HAMILTON,PSD,Partido Social Democrático,PSD / PRD,8897,8897,NÃO ELEITO
1,PI,11533,PARNAÍBA,4,Prefeito,JOSE HAMILTON FURTADO CASTELLO BRANCO,ZÉ HAMILTON,PSD,Partido Social Democrático,PSD / PRD,795,795,NÃO ELEITO
1,AL,28550,ROTEIRO,18,Prefeito,THIAGO HENRIQUE TEIXEIRA CURSINO,THIAGO CURSINO,PL,Partido Liberal,PP / AGIR / PL,2238,2238,NÃO ELEITO
1,BA,33553,BARRA DA ESTIVA,169,Prefeito,ERONILSON MARTINS DE SOUZA,SON MARTINS,AVANTE,AVANTE,PP / AVANTE,8915,8915,NÃO ELEITO
1,SP,69515,REGINÓPOLIS,95,Prefeito,JOÃO PAULO ARAUJO DE SOUSA VERISSIMO,JOÃO PAULO,PSD,Partido Social Democrático,PSB / PSD,1678,1678,NÃO ELEITO
1,AL,27111,BARRA DE SÃO MIGUEL,26,Prefeito,FLORIANO DE ALBUQUERQUE MELO NETO,FLORIANO MELO,MDB,Movimento Democrático Brasileiro,MDB / PDT / PSB,2135,2135,NÃO ELEITO
