Territorialidades,Taxa de Educacao 2010
General Carneiro (PR),90.13
General Maynard (SE),84.77
General Salgado (SP),92.0
General Sampaio (CE),67.42
Gentil (RS),92.41
Gentio do Ouro (BA),74.55
Getulina (SP),90.89
Getúlio Vargas (RS),95.88
Gilbués (PI),77.0
Girau do Ponciano (AL),64.03
Giruá (RS),93.32
Glaucilândia (MG),86.93
Glicério (SP),91.15
Glória (BA),71.9
Glória de Dourados (MS),88.84
Glória D'Oeste (MT),86.84
Glória do Goitá (PE),70.02
Glorinha (RS),92.04
Godofredo Viana (MA),83.05
Godoy Moreira (PR),84.62
Goiabeira (MG),77.7
Goianá (MG),89.48
Goiana (PE),81.44
Goianápolis (GO),83.59
Goiandira (GO),91.67
Goianésia do Pará (PA),77.33
Goianésia (GO),90.0
Goiânia (GO),96.71
Goianinha (RN),76.18
Goianira (GO),91.71
Goianorte (TO),83.23
Goiás (GO),86.84
Goiatins (TO),74.73
Goiatuba (GO),90.58
Goioerê (PR),89.36
Goioxim (PR),87.2
Gonçalves Dias (MA),65.25
Gonçalves (MG),86.62
Gongogi (BA),71.56
Gonzaga (MG),80.6
Gouveia (MG),91.51
Gouvelândia (GO),82.01
Governador Archer (MA),68.52
Governador Celso Ramos (SC),92.23
Governador Dix-Sept Rosado (RN),76.04
Governador Edison Lobão (MA),80.37
Governador Eugênio Barros (MA),64.1
Governador Jorge Teixeira (RO),86.65
Governador Lindenberg (ES),88.61
Governador Luiz Rocha (MA),69.15
Governador Mangabeira (BA),82.55
Governador Newton Bello (MA),63.77
Governador Nunes Freire (MA),74.61
Governador Valadares (MG),92.42
Graça Aranha (MA),69.9
Graça (CE),64.31
Gracho Cardoso (SE),70.05
Grajaú (MA),77.86
Gramado dos Loureiros (RS),86.95
Gramado (RS),97.18
Gramado Xavier (RS),90.09
Grandes Rios (PR),82.07
Granito (PE),72.88
Granja (CE),61.43
Granjeiro (CE),69.38
Grão Mogol (MG),81.17
Grão Pará (SC),95.14
Gravataí (RS),96.8
Gravatal (SC),94.61
Gravatá (PE),77.73
Groaíras (CE),74.76
Grossos (RN),74.12
Grupiara (MG),92.09
Guabiju (RS),95.45
Guabiruba (SC),97.23
Guaçuí (ES),87.16
Guadalupe (PI),81.21
Guaíba (RS),96.17
Guaiçara (SP),93.24
Guaimbê (SP),88.67
Guairaçá (PR),85.92
Guaíra (PR),90.5
Guaíra (SP),94.41
Guaiúba (CE),76.93
Guajará (AM),68.5
Guajará-Mirim (RO),91.94
Guajeru (BA),70.11
Guamaré (RN),77.22
Guamiranga (PR),92.65
Guanambi (BA),84.58
Guanhães (MG),88.11
Guapé (MG),91.45
Guapiaçu (SP),92.98
Guapiara (SP),87.32
Guapimirim (RJ),92.49
Guapirama (PR),87.46
Guapó (GO),89.13
Guaporema (PR),87.81
Guaporé (RS),96.25
Guarabira (PB),79.75
Guaraçaí (SP),91.07
Guaraciaba do Norte (CE),71.57
Guaraciaba (MG),82.11
Guaraciaba (SC),93.41
Guaraciama (MG),82.45
Guaraci (PR),88.8
Guaraci (SP),91.75
Guaraíta (GO),89.28
Guaraí (TO),88.77
Guaramiranga (CE),82.15
Guaramirim (SC),97.17
Guaranésia (MG),88.76
Guaraniaçu (PR),89.26
Guarani das Missões (RS),95.07
Guarani de Goiás (GO),77.2
Guarani D'Oeste (SP),88.99
Guarani (MG),88.26
Guarantã do Norte (MT),92.49
Guarantã (SP),90.04
Guarapari (ES),93.41
Guarapuava (PR),94.0
Guaraqueçaba (PR),85.29
Guarará (MG),91.41
Guararapes (SP),93.24
Guararema (SP),92.83
Guará (SP),90.47
Guaratinga (BA),65.53
Guaratinguetá (SP),97.09
Guaratuba (PR),94.6
Guarda-Mor (MG),89.44
Guareí (SP),92.33
Guaribas (PI),65.16
Guariba (SP),90.09
Guarinos (GO),86.0
Guarujá do Sul (SC),93.67
Guarujá (SP),94.9
Guarulhos (SP),95.9
Guatambú (SC),89.79
Guatapará (SP),90.15
Guaxupé (MG),94.02
Guia Lopes da Laguna (MS),86.51
Guidoval (MG),89.05
Guimarães (MA),84.21
Guimarânia (MG),90.9
Guiratinga (MT),87.34
Guiricema (MG),87.1
Gurinhatã (MG),85.15
Gurinhém (PB),62.23
Gurjão (PB),78.98
Gurupá (PA),75.18
Gurupi (TO),93.61
Guzolândia (SP),86.4
Harmonia (RS),97.91
Heitoraí (GO),86.99
Heliodora (MG),87.02
Heliópolis (BA),68.04
Herculândia (SP),90.98
Herval D'Oeste (SC),95.19
Herval (RS),92.47
Herveiras (RS),89.83
Hidrolândia (CE),69.81
Hidrolândia (GO),92.91
Hidrolina (GO),88.85
Holambra (SP),94.58
Honório Serpa (PR),90.61
Horizonte (CE),84.35
Horizontina (RS),97.11
Hortolândia (SP),95.35
Hugo Napoleão (PI),67.95
Hulha Negra (RS),91.31
Humaitá (AM),83.05
Humaitá (RS),96.45
Humberto de Campos (MA),76.4
Iacanga (SP),93.1
Iaciara (GO),80.51
Iacri (SP),90.19
Iaçu (BA),75.01
Iapu (MG),83.65
Iaras (SP),92.53
Iati (PE),60.63
Ibaiti (PR),88.41
Ibarama (RS),93.31
Ibaretama (CE),65.33
Ibateguara (AL),61.25
Ibaté (SP),92.67
Ibatiba (ES),82.1
Ibema (PR),88.08
Ibertioga (MG),86.1
Ibiaçá (RS),93.3
Ibiaí (MG),81.3
Ibiá (MG),93.55
Ibiam (SC),93.78
Ibiapina (CE),74.52
Ibiara (PB),62.02
Ibiassucê (BA),79.01
Ibicaraí (BA),78.5
Ibicaré (SC),93.27
Ibicoara (BA),83.69
Ibicuí (BA),74.4
Ibicuitinga (CE),70.66
Ibimirim (PE),68.03
Ibipeba (BA),81.84
Ibipitanga (BA),71.9
Ibiporã (PR),92.56
Ibiquera (BA),69.94
Ibiracatu (MG),74.46
Ibiraci (MG),90.66
Ibiraçu (ES),91.92
Ibiraiaras (RS),94.01
Ibirajuba (PE),64.59
Ibirama (SC),96.28
Ibirapitanga (BA),68.09
Ibirapuã (BA),76.91
Ibirapuitã (RS),90.01
Ibirarema (SP),93.17
Ibirá (SP),91.45
Ibirataia (BA),71.12
Ibirité (MG),94.04
Ibirubá (RS),96.56
Ibitiara (BA),76.78
Ibitinga (SP),94.53
Ibitirama (ES),80.96
Ibititá (BA),77.27
Ibitiúra de Minas (MG),88.43
Ibituruna (MG),89.38
Ibiúna (SP),91.3
Ibotirama (BA),82.02
Icapuí (CE),73.93
Icaraí de Minas (MG),84.68
Icaraíma (PR),88.02
Içara (SC),95.8
Icatu (MA),77.87
Icém (SP),93.08
Ichu (BA),85.76
Icó (CE),67.17
Iconha (ES),91.72
Ielmo Marinho (RN),71.88
Iepê (SP),91.73
Igaci (AL),61.92
Igaporã (BA),79.61
Igaraçu do Tietê (SP),90.48
Igaracy (PB),67.81
Igarapava (SP),91.86
Igarapé-Açu (PA),84.43
Igarapé do Meio (MA),71.6
Igarapé Grande (MA),71.45
Igarapé (MG),92.7
Igarapé-Miri (PA),80.94
Igarassu (PE),85.8
Igaratá (SP),90.04
Igaratinga (MG),92.87
Igrapiúna (BA),75.51
Igreja Nova (AL),63.03
Igrejinha (RS),96.49
Iguaba Grande (RJ),95.76
Iguaí (BA),69.77
Iguape (SP),92.01
Iguaraci (PE),71.55
Iguaraçu (PR),90.4
Iguatama (MG),94.44
Iguatemi (MS),87.29
Iguatu (CE),76.64
Iguatu (PR),87.98
Ijaci (MG),93.13
Ijuí (RS),95.84
Ilhabela (SP),94.78
Ilha Comprida (SP),94.96
Ilha das Flores (SE),74.29
Ilha de Itamaracá (PE),84.66
Ilha Grande (PI),73.26
Ilha Solteira (SP),95.72
Ilhéus (BA),87.52
Ilhota (SC),94.72
Ilicínea (MG),90.51
Ilópolis (RS),93.26
Imaculada (PB),69.25
Imaruí (SC),87.92
Imbaú (PR),83.65
Imbé de Minas (MG),82.72
Imbé (RS),96.98
Imbituba (SC),94.12
Imbituva (PR),94.16
Imbuia (SC),93.49
Imigrante (RS),98.68
Imperatriz (MA),89.13
Inaciolândia (GO),80.5
Inácio Martins (PR),89.11
Inajá (PE),64.02
Inajá (PR),85.68
Inconfidentes (MG),91.45
Indaiabira (MG),67.87
Indaial (SC),97.09
Indaiatuba (SP),96.62
Independência (CE),71.26
Independência (RS),92.05
Indiana (SP),93.41
Indianópolis (MG),89.04
Indianópolis (PR),89.77
Indiaporã (SP),88.62
Indiara (GO),87.72
Indiaroba (SE),73.28
Indiavaí (MT),85.6
Ingaí (MG),91.84
Ingá (PB),63.58
Ingazeira (PE),73.13
Inhacorá (RS),89.45
Inhambupe (BA),74.44
Inhangapi (PA),84.39
Inhapi (AL),59.64
Inhapim (MG),84.73
Inhaúma (MG),91.35
Inhuma (PI),72.65
Inhumas (GO),90.09
Inimutaba (MG),87.67
Inocência (MS),86.53
Inúbia Paulista (SP),90.29
Iomerê (SC),97.04
Ipaba (MG),88.32
Ipameri (GO),90.21
Ipanema (MG),85.8
Ipanguaçu (RN),72.26
Ipaporanga (CE),65.71
Ipatinga (MG),94.99
Ipaumirim (CE),72.68
Ipaussu (SP),92.98
Ipecaetá (BA),73.77
Iperó (SP),94.96
Ipê (RS),93.7
Ipeúna (SP),94.22
Ipiaçu (MG),84.02
Ipiaú (BA),80.09
Ipiguá (SP),93.07
Ipirá (BA),72.52
Ipiranga de Goiás (GO),87.28
Ipiranga do Norte (MT),94.82
Ipiranga do Piauí (PI),77.32
Ipiranga do Sul (RS),96.62
Ipiranga (PR),92.38
Ipira (SC),94.98
Ipixuna (AM),61.59
Ipixuna do Pará (PA),77.18
Ipojuca (PE),79.36
Iporã do Oeste (SC),96.66
Iporá (GO),88.12
Iporanga (SP),87.41
Iporã (PR),87.89
Ipuaçu (SC),88.93
Ipuã (SP),90.86
Ipubi (PE),69.77
Ipu (CE),71.87
Ipueira (RN),76.06
Ipueiras (CE),67.97
Ipueiras (TO),84.21
Ipuiúna (MG),88.06
Ipumirim (SC),94.91
Ipupiara (BA),84.12
Iracema (CE),73.41
Iracema do Oeste (PR),83.89
Iracemápolis (SP),96.55
Iracema (RR),69.77
Iraceminha (SC),92.9
Iraí de Minas (MG),91.41
Iraí (RS),90.56
Irajuba (BA),72.18
Iramaia (BA),75.68
Iranduba (AM),86.76
Irani (SC),92.63
Irapuã (SP),89.92
Irapuru (SP),89.72
Iraquara (BA),82.28
Irará (BA),76.73
Irati (PR),95.44
Irati (SC),88.44
Irauçuba (CE),71.99
Irecê (BA),86.6
Iretama (PR),83.21
Irineópolis (SC),92.95
Irituia (PA),80.35
Irupi (ES),81.44
Isaías Coelho (PI),65.21
Israelândia (GO),86.93
Itaara (RS),94.28
Itabaiana (PB),72.54
Itabaiana (SE),78.21
Itabaianinha (SE),70.17
Itabela (BA),74.26
Itaberaba (BA),82.04
Itaberaí (GO),89.63
Itaberá (SP),91.32
Itabira (MG),93.66
Itabirinha (MG),79.55
Itabirito (MG),96.0
Itabi (SE),69.13
Itaboraí (RJ),93.44
Itabuna (BA),89.62
Itacajá (TO),81.76
Itacambira (MG),83.95
Itacarambi (MG),82.3
Itacaré (BA),77.0
Itacoatiara (AM),90.88
Itacuruba (PE),78.44
Itacurubi (RS),91.64
Itaeté (BA),73.68
Itagibá (BA),73.49
Itagi (BA),69.23
Itagimirim (BA),72.11
Itaguaçu da Bahia (BA),71.28
Itaguaçu (ES),86.58
Itaguaí (RJ),94.56
Itaguajé (PR),88.58
Itaguara (MG),91.85
Itaguari (GO),84.98
Itaguaru (GO),85.84
Itaguatins (TO),75.21
Itaíba (PE),60.27
Itaiçaba (CE),77.18
Itainópolis (PI),62.46
Itaiópolis (SC),95.3
Itaipava do Grajaú (MA),65.87
Itaipé (MG),75.03
Itaipulândia (PR),92.31
Itaí (SP),91.71
Itaitinga (CE),82.8
Itaituba (PA),86.16
Itajá (GO),89.15
Itajaí (SC),97.03
Itajá (RN),74.48
Itajobi (SP),92.38
Itajubá (MG),96.08
Itaju do Colônia (BA),74.35
Itajuípe (BA),78.2
Itaju (SP),92.36
Italva (RJ),88.94
Itamaraju (BA),77.89
Itamarandiba (MG),81.29
Itamarati (AM),62.27
Itamarati de Minas (MG),92.49
Itamari (BA),71.79
Itambacuri (MG),78.74
Itambaracá (PR),84.54
Itambé (BA),75.26
Itambé do Mato Dentro (MG),80.98
Itambé (PE),69.5
Itambé (PR),88.26
Itamogi (MG),89.28
Itamonte (MG),93.99
Itanagra (BA),75.44
Itanhaém (SP),94.14
Itanhandu (MG),95.37
Itanhangá (MT),92.06
Itanhém (BA),75.18
Itanhomi (MG),82.53
Itaobim (MG),79.04
Itaocara (RJ),88.95
Itaóca (SP),84.28
Itapaci (GO),87.07
Itapagé (CE),76.64
Itapagipe (MG),93.48
Itaparica (BA),92.42
Itapé (BA),76.79
Itapebi (BA),70.36
Itapecerica da Serra (SP),94.38
Itapecerica (MG),88.98
Itapecuru Mirim (MA),72.91
Itapejara D'Oeste (PR),92.68
Itapema (SC),97.2
Itapemirim (ES),88.43
Itaperuçu (PR),89.22
Itaperuna (RJ),92.38
Itapetim (PE),74.37
Itapetinga (BA),85.11
Itapetininga (SP),95.37
Itapeva (MG),89.62
Itapeva (SP),93.78
Itapevi (SP),94.62
Itapicuru (BA),61.48
Itapipoca (CE),77.32
Itapiranga (AM),91.55
Itapiranga (SC),96.72
Itapirapuã (GO),83.38
Itapirapuã Paulista (SP),87.02
Itapira (SP),94.26
Itapiratins (TO),80.91
Itapissuma (PE),81.47
Itapitanga (BA),74.32
Itapiúna (CE),69.58
Itapoá (SC),96.12
Itápolis (SP),93.04
Itaporã do Tocantins (TO),81.17
Itaporã (MS),88.1
Itaporanga D'Ajuda (SE),75.45
Itaporanga (PB),77.16
Itaporanga (SP),89.28
Itapororoca (PB),66.38
Itapuã do Oeste (RO),87.0
Itapuca (RS),90.87
Itapuí (SP),93.99
Itapuranga (GO),85.73
Itapura (SP),88.56
Itaquaquecetuba (SP),94.34
Itaquara (BA),66.2
Itaquiraí (MS),83.26
Itaqui (RS),93.82
Itaquitinga (PE),72.28
Itarana (ES),89.95
Itarantim (BA),76.97
Itararé (SP),93.49
Itarema (CE),73.1
Itariri (SP),90.7
Itarumã (GO),87.6
Itá (SC),93.92
Itatiaia (RJ),94.17
Itatiaiuçu (MG),90.38
Itatiba do Sul (RS),88.62
Itatiba (SP),96.13
Itatim (BA),76.68
Itatinga (SP),91.92
Itatira (CE),67.43
Itati (RS),87.08
Itatuba (PB),61.93
Itaubal (AP),85.97
Itaúba (MT),87.06
Itauçu (GO),87.9
Itaú de Minas (MG),95.04
Itaueira (PI),72.2
Itaúna do Sul (PR),80.72
Itaúna (MG),95.83
Itaú (RN),77.93
Itaverava (MG),84.44
Itinga do Maranhão (MA),76.52
Itinga (MG),77.82
Itiquira (MT),92.75
Itirapina (SP),91.36
Itirapuã (SP),91.5
Itiruçu (BA),75.48
Itiúba (BA),73.45
Itobi (SP),91.77
Itororó (BA),75.63
Ituaçu (BA),74.2
Ituberá (BA),79.62
Itueta (MG),84.66
Ituiutaba (MG),91.55
Itumbiara (GO),92.15
Itumirim (MG),94.08
Itupeva (SP),95.31
Itupiranga (PA),76.88
Ituporanga (SC),95.38
Iturama (MG),91.34
Itu (SP),95.58
Itutinga (MG),93.59
Ituverava (SP),93.43
Iuiú (BA),74.01
Iúna (ES),84.75
Ivaiporã (PR),88.46
Ivaí (PR),91.69
Ivaté (PR),89.77
Ivatuba (PR),92.98
Ivinhema (MS),90.08
Ivolândia (GO),86.01
Ivorá (RS),95.16
Ivoti (RS),98.12
Jaboatão dos Guararapes (PE),90.87
Jaborandi (BA),74.43
Jaborandi (SP),92.21
Jaborá (SC),92.71
Jaboticabal (SP),95.09
Jaboticaba (RS),87.84
Jaboticatubas (MG),89.15
Jaboti (PR),88.51
Jaçanã (RN),72.19
Jacaraci (BA),74.18
Jacaraú (PB),67.07
Jacareacanga (PA),72.59
Jacaré dos Homens (AL),71.88
Jacareí (SP),96.23
Jacarezinho (PR),90.96
Jaciara (MT),89.97
Jacinto Machado (SC),92.39
Jacinto (MG),72.51
Jaci (SP),90.9
Jacobina (BA),82.44
Jacobina do Piauí (PI),63.7
Jacuí (MG),89.34
Jacuípe (AL),69.18
Jacuizinho (RS),88.15
Jacundá (PA),84.02
Jacupiranga (SP),90.76
Jacutinga (MG),92.88
Jacutinga (RS),93.69
Jaguapitã (PR),89.19
Jaguaquara (BA),73.22
Jaguaraçu (MG),89.67
Jaguarão (RS),93.38
Jaguarari (BA),81.9
Jaguaré (ES),86.3
Jaguaretama (CE),71.47
Jaguariaíva (PR),93.1
Jaguaribara (CE),74.03
Jaguaribe (CE),74.44
Jaguaripe (BA),71.65
Jaguari (RS),94.18
Jaguariúna (SP),95.7
Jaguaruana (CE),72.85
Jaguaruna (SC),93.51
Jaíba (MG),81.72
Jaicós (PI),61.51
Jales (SP),94.38
Jambeiro (SP),92.86
Jampruca (MG),77.2
Janaúba (MG),85.77
Jandaia do Sul (PR),92.67
Jandaia (GO),86.73
Jandaíra (BA),72.71
Jandaíra (RN),67.41
Jandira (SP),95.56
Janduís (RN),72.24
Jangada (MT),79.65
Janiópolis (PR),82.34
Januária (MG),82.65
Januário Cicco (RN),64.54
Japaraíba (MG),92.94
Japaratinga (AL),70.33
Japaratuba (SE),79.42
Japeri (RJ),92.91
Japira (PR),89.01
Japi (RN),65.2
Japoatã (SE),69.16
Japonvar (MG),77.92
Japorã (MS),76.88
Japurá (AM),72.08
Japurá (PR),91.16
Jaqueira (PE),67.33
Jaquirana (RS),88.93
Jaraguá do Sul (SC),98.23
Jaraguá (GO),90.33
Jaraguari (MS),90.66
Jaramataia (AL),60.83
Jardim Alegre (PR),84.88
Jardim (CE),73.71
Jardim de Angicos (RN),73.08
Jardim de Piranhas (RN),74.23
Jardim do Mulato (PI),70.41
Jardim do Seridó (RN),81.53
Jardim (MS),92.06
Jardim Olinda (PR),87.59
Jardinópolis (SC),91.01
Jardinópolis (SP),94.61
Jarinu (SP),92.86
Jari (RS),92.35
Jaru (RO),89.34
Jataí (GO),92.86
Jataizinho (PR),89.66
Jataúba (PE),65.71
Jateí (MS),87.32
Jati (CE),73.75
Jatobá do Piauí (PI),69.6
Jatobá (MA),67.6
Jatobá (PE),77.37
Jaú do Tocantins (TO),86.54
Jaupaci (GO),83.62
Jauru (MT),82.81
Jaú (SP),95.31
Jeceaba (MG),91.93
Jenipapo de Minas (MG),76.92
Jenipapo dos Vieiras (MA),65.93
Jequeri (MG),83.81
Jequiá da Praia (AL),71.86
Jequié (BA),84.12
Jequitaí (MG),80.11
Jequitibá (MG),90.52
Jequitinhonha (MG),74.62
Jeremoabo (BA),68.0
Jericó (PB),71.2
Jeriquara (SP),90.09
Jerônimo Monteiro (ES),86.89
Jerumenha (PI),74.99
Jesuânia (MG),88.94
Jesuítas (PR),89.78
Jesúpolis (GO),84.33
Jijoca de Jericoacoara (CE),76.49
Ji-Paraná (RO),92.21
Jiquiriçá (BA),77.4
Jitaúna (BA),70.28
Joaçaba (SC),96.83
Joaíma (MG),71.4
Joanésia (MG),80.72
Joanópolis (SP),92.2
João Alfredo (PE),64.3
João Câmara (RN),73.22
João Costa (PI),71.58
João Dias (RN),61.14
João Dourado (BA),79.33
João Lisboa (MA),77.68
João Monlevade (MG),95.88
João Neiva (ES),92.29
João Pessoa (PB),91.89
João Pinheiro (MG),89.19
João Ramalho (SP),88.73
Joaquim Felício (MG),84.48
Joaquim Gomes (AL),60.32
Joaquim Nabuco (PE),70.35
Joaquim Pires (PI),63.69
Joaquim Távora (PR),91.92
Joca Marques (PI),61.56
Jóia (RS),93.74
Joinville (SC),97.74
Jordânia (MG),75.72
Jordão (AC),73.13
José Boiteux (SC),93.73
José Bonifácio (SP),94.08
José da Penha (RN),70.27
José de Freitas (PI),75.47
José Gonçalves de Minas (MG),80.66
Joselândia (MA),66.31
Josenópolis (MG),71.14
José Raydan (MG),77.39
Joviânia (GO),88.68
Juara (MT),90.1
Juarez Távora (PB),64.15
Juarina (TO),84.81
Juatuba (MG),91.46
Juazeirinho (PB),73.99
Juazeiro (BA),86.65
Juazeiro do Norte (CE),83.8
Juazeiro do Piauí (PI),70.77
Jucás (CE),68.82
Jucati (PE),67.33
Jucuruçu (BA),67.96
Jucurutu (RN),68.47
Juína (MT),90.14
Juiz de Fora (MG),96.75
Júlio Borges (PI),81.84
Júlio de Castilhos (RS),94.35
Júlio Mesquita (SP),88.12
Jumirim (SP),93.4
Junco do Maranhão (MA),72.84
Junco do Seridó (PB),78.29
Jundiá (AL),66.27
Jundiaí do Sul (PR),85.49
Jundiaí (SP),96.92
Jundiá (RN),64.56
Junqueiro (AL),67.74
Junqueirópolis (SP),91.44
Jupiá (SC),89.82
Jupi (PE),67.81
Juquiá (SP),88.94
Juquitiba (SP),89.18
Juramento (MG),83.83
Juranda (PR),87.76
Jurema (PE),62.05
Jurema (PI),64.52
Juripiranga (PB),65.66
Juruá (AM),66.28
Juruaia (MG),93.58
Juruena (MT),90.02
Juru (PB),66.59
Juruti (PA),91.1
Juscimeira (MT),85.19
Jussara (BA),74.23
Jussara (GO),87.46
Jussara (PR),92.95
Jussari (BA),70.58
Jussiape (BA),74.93
Jutaí (AM),71.94
Juti (MS),81.33
Juvenília (MG),76.88
Kaloré (PR),88.55
Lábrea (AM),71.45
Lacerdópolis (SC),94.59
Ladainha (MG),70.31
Ladário (MS),93.31
Lafaiete Coutinho (BA),73.02
Lagamar (MG),88.93
Lagarto (SE),74.68
Lages (SC),94.98
Lagoa Alegre (PI),68.11
Lagoa Bonita do Sul (RS),89.34
Lagoa da Canoa (AL),61.62
Lagoa da Confusão (TO),86.52
Lagoa D'Anta (RN),66.8
Lagoa da Prata (MG),93.52
Lagoa de Dentro (PB),68.1
Lagoa de Itaenga (PE),73.14
Lagoa de Pedras (RN),63.28
Lagoa de São Francisco (PI),66.36
Lagoa de Velhos (RN),73.35
Lagoa do Barro do Piauí (PI),72.27
Lagoa do Carro (PE),76.34
Lagoa do Mato (MA),66.96
Lagoa do Ouro (PE),59.86
Lagoa do Piauí (PI),72.96
Lagoa dos Gatos (PE),60.95
Lagoa do Sítio (PI),64.22
Lagoa dos Patos (MG),84.01
Lagoa dos Três Cantos (RS),97.78
Lagoa do Tocantins (TO),77.42
Lagoa Dourada (MG),94.13
Lagoa Formosa (MG),89.05
Lagoa Grande do Maranhão (MA),64.66
Lagoa Grande (MG),88.84
Lagoa Grande (PE),75.57
Lagoa Nova (RN),70.76
Lagoão (RS),79.89
Lagoa (PB),66.16
Lagoa Real (BA),76.17
Lagoa Salgada (RN),63.07
Lagoa Santa (GO),93.31
Lagoa Santa (MG),95.3
Lagoa Seca (PB),78.74
Lagoa Vermelha (RS),92.59
Lago da Pedra (MA),69.42
Lago do Junco (MA),67.03
Lago dos Rodrigues (MA),69.94
Lagoinha do Piauí (PI),72.78
Lagoinha (SP),89.44
Lago Verde (MA),66.98
Laguna Carapã (MS),87.76
Laguna (SC),94.45
Lajeado do Bugre (RS),81.67
Lajeado Grande (SC),92.61
Lajeado Novo (MA),81.43
Lajeado (RS),97.31
Lajeado (TO),90.32
Laje (BA),72.56
Lajedão (BA),75.82
Lajedinho (BA),72.42
Lajedo do Tabocal (BA),70.64
Laje do Muriaé (RJ),86.24
Lajedo (PE),73.77
Lajes Pintadas (RN),72.49
Lajes (RN),73.02
Lajinha (MG),82.95
Lamarão (BA),67.22
Lambari D'Oeste (MT),84.53
Lambari (MG),92.48
Lamim (MG),86.78
Landri Sales (PI),73.41
Lapão (BA),79.01
Lapa (PR),94.33
Laranja da Terra (ES),86.79
Laranjal do Jari (AP),88.65
Laranjal (MG),89.2
Laranjal Paulista (SP),95.24
Laranjal (PR),82.19
Laranjeiras do Sul (PR),91.53
Laranjeiras (SE),84.34
Lassance (MG),84.94
Lastro (PB),68.91
Laurentino (SC),96.1
Lauro de Freitas (BA),95.07
Lauro Muller (SC),95.14
Lavandeira (TO),77.51
Lavínia (SP),92.12
Lavras da Mangabeira (CE),71.12
Lavras do Sul (RS),90.81
Lavras (MG),95.86
Lavrinhas (SP),93.67
Leandro Ferreira (MG),88.23
Lebon Régis (SC),87.95
Leme do Prado (MG),82.58
Leme (SP),92.84
Lençóis (BA),81.35
Lençóis Paulista (SP),94.9
Leoberto Leal (SC),89.58
Leopoldina (MG),93.01
Leopoldo de Bulhões (GO),86.4
Leópolis (PR),88.48
Liberato Salzano (RS),87.22
Liberdade (MG),85.08
Licínio de Almeida (BA),77.1
Lidianópolis (PR),82.19
Lima Campos (MA),68.95
Lima Duarte (MG),88.99
Limeira do Oeste (MG),87.38
Limeira (SP),96.01
Limoeiro de Anadia (AL),64.9
Limoeiro do Ajuru (PA),85.25
Limoeiro do Norte (CE),80.79
Limoeiro (PE),80.0
Lindoeste (PR),86.35
Lindóia do Sul (SC),94.56
Lindóia (SP),94.1
Lindolfo Collor (RS),96.22
Linha Nova (RS),97.14
Linhares (ES),90.38
Lins (SP),95.4
Livramento de Nossa Senhora (BA),78.85
Livramento (PB),76.87
Lizarda (TO),77.64
Loanda (PR),91.76
Lobato (PR),88.99
Logradouro (PB),65.89
Londrina (PR),95.48
Lontra (MG),77.78
Lontras (SC),94.92
Lorena (SP),96.31
Loreto (MA),77.71
Lourdes (SP),89.42
Louveira (SP),95.68
Lucas do Rio Verde (MT),96.74
Lucélia (SP),93.42
Lucena (PB),74.68
Lucianópolis (SP),92.04
Luciara (MT),86.52
Lucrécia (RN),76.07
Luís Antônio (SP),94.01
Luisburgo (MG),85.04
Luís Correia (PI),70.24
Luís Domingues (MA),80.56
Luís Eduardo Magalhães (BA),92.73
Luís Gomes (RN),70.79
Luislândia (MG),80.62
Luiz Alves (SC),95.61
Luiziana (PR),85.37
Luiziânia (SP),87.84
Luminárias (MG),90.66
Lunardelli (PR),83.77
Lupércio (SP),89.02
Lupionópolis (PR),88.98
Lutécia (SP),90.75
Luzerna (SC),97.84
Luziânia (GO),92.05
Luzilândia (PI),64.54
Luzinópolis (TO),81.81
Luz (MG),91.93
Macaé (RJ),95.78
Macaíba (RN),77.45
Macajuba (BA),72.24
Maçambará (RS),90.08
Macambira (SE),68.5
Macapá (AP),93.83
Macaparana (PE),68.41
Macarani (BA),72.5
Macatuba (SP),91.62
Macaubal (SP),92.14
Macaúbas (BA),73.56
Macau (RN),81.06
Macedônia (SP),89.95
Maceió (AL),88.14
Machacalis (MG),76.57
Machadinho D'Oeste (RO),88.21
Machadinho (RS),89.45
Machado (MG),91.93
Machados (PE),70.65
Macieira (SC),90.37
Macuco (RJ),92.08
Macururé (BA),74.23
Madalena (CE),73.88
Madeiro (PI),66.89
Madre de Deus (BA),94.74
Madre de Deus de Minas (MG),93.17
Mãe D'Água (PB),69.8
Mãe do Rio (PA),82.4
Maetinga (BA),67.08
Mafra (SC),96.55
Magalhães Barata (PA),89.37
Magalhães de Almeida (MA),69.55
Magda (SP),89.93
Magé (RJ),94.14
Maiquinique (BA),73.21
Mairi (BA),75.91
Mairinque (SP),94.59
Mairiporã (SP),95.0
Mairipotaba (GO),88.46
Major Gercino (SC),92.48
Major Isidoro (AL),64.09
Major Sales (RN),70.97
Major Vieira (SC),93.92
Malacacheta (MG),74.78
Malhada (BA),75.69
Malhada de Pedras (BA),73.91
Malhada dos Bois (SE),76.34
Malhador (SE),75.27
Mallet (PR),96.73
Malta (PB),72.03
Mamanguape (PB),72.1
Mambaí (GO),79.78
Mamborê (PR),89.0
Mamonas (MG),71.47
Mampituba (RS),89.78
Manacapuru (AM),84.45
Manaíra (PB),64.99
Manaquiri (AM),89.37
Manari (PE),60.15
Manaus (AM),96.22
Mâncio Lima (AC),76.21
Mandaguaçu (PR),91.17
Mandaguari (PR),92.68
Mandirituba (PR),93.37
Manduri (SP),94.22
