Territorialidades,Taxa de Educacao 2010
Arabutã (SC),95.96
Araçagi (PB),61.4
Araçaí (MG),89.71
Aracaju (SE),93.39
Araçariguama (SP),93.28
Araças (BA),76.85
Aracati (CE),79.18
Aracatu (BA),70.65
Araçatuba (SP),96.17
Araci (BA),65.63
Aracitaba (MG),87.4
Aracoiaba (CE),69.93
Araçoiaba da Serra (SP),95.1
Araçoiaba (PE),75.96
Aracruz (ES),92.58
Araçuaí (MG),82.65
Araçu (GO),83.77
Aragarças (GO),90.93
Aragoiânia (GO),89.89
Aragominas (TO),76.2
Araguacema (TO),83.64
Araguaçu (TO),85.52
Araguaiana (MT),87.58
Araguaína (TO),91.42
Araguainha (MT),85.41
Araguanã (MA),71.85
Araguanã (TO),82.17
Araguapaz (GO),82.06
Araguari (MG),95.2
Araguatins (TO),80.23
Araioses (MA),66.3
Aral Moreira (MS),85.72
Aramari (BA),80.42
Arambaré (RS),92.62
Arame (MA),66.98
Aramina (SP),93.8
Arandu (SP),91.29
Arantina (MG),89.66
Arapeí (SP),92.32
Arapiraca (AL),77.55
Arapoema (TO),82.57
Araponga (MG),77.75
Arapongas (PR),95.0
Araporã (MG),91.71
Arapoti (PR),92.32
Arapuá (MG),92.02
Arapuã (PR),83.41
Araputanga (MT),88.87
Araquari (SC),94.32
Araranguá (SC),95.55
Arara (PB),61.48
Araraquara (SP),96.39
Araras (SP),95.25
Ararendá (CE),65.98
Araricá (RS),95.06
Arari (MA),77.98
Araripe (CE),66.46
Araripina (PE),74.67
Araruama (RJ),92.59
Araruna (PB),60.46
Araruna (PR),90.16
Arataca (BA),68.42
Aratiba (RS),95.62
Aratuba (CE),74.65
Aratuípe (BA),75.38
Arauá (SE),72.49
Araucária (PR),96.43
Araújos (MG),91.9
Araxá (MG),95.8
Arceburgo (MG),89.18
Arco-Íris (SP),84.7
Arcos (MG),95.06
Arcoverde (PE),82.43
Areado (MG),92.8
Areal (RJ),92.71
Arealva (SP),92.61
Areia Branca (RN),83.69
Areia Branca (SE),75.36
Areia de Baraúnas (PB),67.44
Areial (PB),73.35
Areia (PB),70.04
Areias (SP),91.56
Areiópolis (SP),89.67
Arenápolis (MT),87.7
Arenópolis (GO),84.4
Arês (RN),74.31
Argirita (MG),89.53
Aricanduva (MG),78.63
Arinos (MG),85.02
Aripuanã (MT),90.0
Ariquemes (RO),92.1
Ariranha do Ivaí (PR),84.86
Ariranha (SP),92.13
Armação dos Búzios (RJ),95.44
Armazém (SC),94.2
Arneiroz (CE),69.74
Aroazes (PI),69.23
Aroeiras do Itaim (PI),63.36
Aroeiras (PB),64.44
Arraial do Cabo (RJ),95.45
Arraial (PI),68.48
Arraias (TO),79.13
Arroio do Meio (RS),98.12
Arroio do Padre (RS),95.4
Arroio do Sal (RS),96.12
Arroio dos Ratos (RS),92.89
Arroio do Tigre (RS),92.93
Arroio Grande (RS),91.85
Arroio Trinta (SC),94.46
Artur Nogueira (SP),94.45
Aruanã (GO),87.31
Arujá (SP),95.09
Arvoredo (SC),90.13
Arvorezinha (RS),91.73
Ascurra (SC),95.9
Aspásia (SP),86.84
Assaí (PR),90.0
Assaré (CE),68.32
Assis Brasil (AC),79.09
Assis Chateaubriand (PR),91.86
Assis (SP),95.89
Assunção do Piauí (PI),60.68
Assunção (PB),73.74
Astolfo Dutra (MG),93.03
Astorga (PR),91.94
Atalaia (AL),66.43
Atalaia do Norte (AM),64.5
Atalaia (PR),90.71
Atalanta (SC),96.04
Ataléia (MG),74.47
Atibaia (SP),95.08
Atilio Vivacqua (ES),89.54
Augustinópolis (TO),77.71
Augusto Corrêa (PA),73.74
Augusto de Lima (MG),85.53
Augusto Pestana (RS),95.97
Augusto Severo (RN),71.12
Áurea (RS),94.56
Aurelino Leal (BA),73.28
