code_muni,name_muni,area_km2
1504000.0,Limoeiro do Ajuru,1488.8917625921035
1504059.0,Mãe do Rio,469.33240921290053
1504109.0,Magalhães Barata,323.9512590823429
1504208.0,Marabá,15127.095951100962
1504307.0,Maracanã,807.1889880777411
1504406.0,Marapanim,805.1323166432502
1504422.0,Marituba,103.11760907978305
1504455.0,Medicilândia,8272.814240705347
1504505.0,Melgaço,6774.216900214895
1504604.0,Mocajuba,871.4895019744214
1504703.0,Moju,9094.420117210237
1504752.0,Mojuí dos Campos,4990.247784735915
1504802.0,Monte Alegre,18152.134788285704
1504901.0,Muaná,3762.828431372526
1504950.0,Nova Esperança do Piriá,2808.696577397234
1504976.0,Nova Ipixuna,1564.792601561125
1505007.0,Nova Timboteua,490.34680206357785
1505031.0,Novo Progresso,38154.239181734774
1505064.0,Novo Repartimento,15398.995841544103
1505106.0,Óbidos,28016.731193174677
1505205.0,Oeiras do Pará,3852.4222880394154
1505304.0,Oriximiná,107610.47859942274
1505403.0,Ourém,562.1113090762854
1505437.0,Ourilândia do Norte,14412.041907665458
1505486.0,Pacajá,11834.297393197634
1505494.0,Palestina do Pará,983.7353313145348
1505502.0,Paragominas,19343.318159715418
1505536.0,Parauapebas,6882.01892274591
1505551.0,Pau D'arco,1670.8566768133967
1505601.0,Peixe-Boi,450.46210638868234
1505635.0,Piçarra,3314.3244832030173
1505650.0,Placas,7172.644227950042
1505700.0,Ponta de Pedras,3364.7646612443805
1505809.0,Portel,25385.47646083213
1505908.0,Porto de Moz,17422.57974618965
1506005.0,Prainha,14785.811323654214
1506104.0,Primavera,258.7956572716952
1506112.0,Quatipuru,302.83452316013717
1506138.0,Redenção,3824.111582334013
1506161.0,Rio Maria,4115.435948288358
1506187.0,Rondon do Pará,8248.091857180518
1506195.0,Rurópolis,7021.952915737001
1506203.0,Salinópolis,225.84830409359915
1506302.0,Salvaterra,919.1485149557689
1506351.0,Santa Bárbara do Pará,278.5352672942125
1506401.0,Santa Cruz do Arari,1076.7885025350906
1506500.0,Santa Izabel do Pará,716.9220710467093
1506559.0,Santa Luzia do Pará,1345.8534775056748
1506583.0,Santa Maria das Barreiras,10329.85339500071
1506609.0,Santa Maria do Pará,457.44286149521685
1506708.0,Santana do Araguaia,11588.75857674923
1506807.0,Santarém,17896.496934771298
1506906.0,Santarém Novo,229.50407752811012
1507003.0,Santo Antônio do Tauá,537.2122996573396
1507102.0,São Caetano de Odivelas,464.64311333803334
1507151.0,São Domingos do Araguaia,1393.5787210603955
1507201.0,São Domingos do Capim,1685.9788562500812
1507300.0,São Félix do Xingu,84210.14081598597
1507409.0,São Francisco do Pará,480.04652788054403
1507458.0,São Geraldo do Araguaia,3171.053506530953
1507466.0,São João da Ponta,195.56208760468567
1507474.0,São João de Pirabas,668.6283783589821
1507508.0,São João do Araguaia,1279.6295830163126
1507607.0,São Miguel do Guamá,1095.3187307380476
1507706.0,São Sebastião da Boa Vista,1633.3214035558292
1507755.0,Sapucaia,1298.0592705742015
1507805.0,Senador José Porfírio,14418.810789600959
1507904.0,Soure,2856.252172341414
1507953.0,Tailândia,4430.497872836144
1507961.0,Terra Alta,204.97101731379794
1507979.0,Terra Santa,1896.1576399129056
1508001.0,Tomé-Açu,5146.165052293868
1508035.0,Tracuateua,867.8875002298856
1508050.0,Trairão,11989.330363756495
1508084.0,Tucumã,2512.1711508451212
1508100.0,Tucuruí,2084.2363828569196
1508126.0,Ulianópolis,5088.274581050614
1508159.0,Uruará,10792.633189475218
1508209.0,Vigia,400.8381502404137
1508308.0,Viseu,4973.14890949932
1508357.0,Vitória do Xingu,3089.567696700709
1508407.0,Xinguara,3778.963780145075
1600055.0,Serra do Navio,7713.058829723908
1600105.0,Amapá,8453.99566342659
1600154.0,Pedra Branca do Amapari,9622.289531737757
1600204.0,Calçoene,14115.572805406557
1600212.0,Cutias,2179.2913300065934
1600238.0,Ferreira Gomes,4974.32280646567
1600253.0,Itaubal,1622.9859330040063
1600279.0,Laranjal do Jari,30784.900417300774
1600303.0,Macapá,6563.2600080721995
1600402.0,Mazagão,13294.151057765363
1600501.0,Oiapoque,23033.07924744638
1600535.0,Porto Grande,4427.278956289864
1600550.0,Pracuúba,4948.434034386199
1600600.0,Santana,1541.3824258744553
1600709.0,Tartarugalzinho,6684.081796529719
1600808.0,Vitória do Jari,2509.172851535913
1700251.0,Abreulândia,1906.8173222815794
1700301.0,Aguiarnópolis,236.93245907477194
1700350.0,Aliança do Tocantins,1580.6785365677583
1700400.0,Almas,4007.1013816618724
1700707.0,Alvorada,1207.3514023165244
1701002.0,Ananás,1581.4703621582444
1701051.0,Angico,447.8840548638363
1701101.0,Aparecida do Rio Negro,1159.045752409103
1701309.0,Aragominas,1168.481001811901
1701903.0,Araguacema,2774.370952730179
1702000.0,Araguaçu,5155.346138356175
1702109.0,Araguaína,4005.1709203559303
1702158.0,Araguanã,834.7264763284882
1702208.0,Araguatins,2634.028437912873
1702307.0,Arapoema,1558.4097089860597
1702406.0,Arraias,5802.916418620126
1702554.0,Augustinópolis,388.1561200891867
1702703.0,Aurora do Tocantins,695.6000193943798
1702901.0,Axixá do Tocantins,153.627883962656
1703008.0,Babaçulândia,1790.057956678046
1703057.0,Bandeirantes do Tocantins,1540.4927807009308
1703073.0,Barra do Ouro,1105.1949652455276
1703107.0,Barrolândia,697.9388926663745
1703206.0,Bernardo Sayão,924.1416582828408
1703305.0,Bom Jesus do Tocantins,1327.3315051868376
1703602.0,Brasilândia do Tocantins,645.9061304654897
1703701.0,Brejinho de Nazaré,1722.1638389152822
1703800.0,Buriti do Tocantins,252.51009104235996
1703826.0,Cachoeirinha,351.6579048342818
1703842.0,Campos Lindos,3234.078994799649
1703867.0,Cariri do Tocantins,1126.227241031656
1703883.0,Carmolândia,339.56594330211345
1703891.0,Carrasco Bonito,190.32974023953608
1703909.0,Caseara,1679.5427614613689
1704105.0,Centenário,1953.4239821157491
1704600.0,Chapada de Areia,658.7121356470195
1705102.0,Chapada da Natividade,1640.7254001817087
1705508.0,Colinas do Tocantins,842.4115731600757
1705557.0,Combinado,208.87014315202416
1705607.0,Conceição do Tocantins,2530.6143063326763
1706001.0,Couto Magalhães,1584.0488341805622
1706100.0,Cristalândia,1851.2238348251267
1706258.0,Crixás do Tocantins,983.5652861268209
1706506.0,Darcinópolis,1641.237946790347
1707009.0,Dianópolis,3317.729797871126
1707108.0,Divinópolis do Tocantins,2358.134568790646
1707207.0,Dois Irmãos do Tocantins,3748.079100750237
1707306.0,Dueré,3420.845777067379
1707405.0,Esperantina,506.1449509865895
1707553.0,Fátima,380.54504444763074
1707652.0,Figueirópolis,1935.9987210563256
1707702.0,Filadélfia,1990.9472078817141
1708205.0,Formoso do Araguaia,13432.1132633173
1708254.0,Tabocão,624.0057589141745
1708304.0,Goianorte,1796.9314051793092
1709005.0,Goiatins,6414.746882339604
1709302.0,Guaraí,2106.9446477503884
1709500.0,Gurupi,1844.185780050713
1709807.0,Ipueiras,822.0050750917659
1710508.0,Itacajá,3047.0865108201683
1710706.0,Itaguatins,729.7963817776266
1710904.0,Itapiratins,1247.2362919098757
1711100.0,Itaporã do Tocantins,969.6005389726333
1711506.0,Jaú do Tocantins,2167.738342526903
