"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2020";"Emenda Individual - Transferências Especiais";"ODAIR CUNHA";"0005";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202014070005";"5.130.227,00";"5.130.227,00";"5.130.227,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"VANDERLAN CARDOSO";"0002";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202340830002";"5.138.438,00";"5.138.438,00";"5.138.438,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"RICARDO IZAR";"0004";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202128150004";"5.139.986,00";"5.139.986,00";"5.139.986,00";"0,00";"0,00";"0,00";
"2020";"Emenda Individual - Transferências Especiais";"ANDRE FERREIRA";"0004";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202039130004";"5.140.000,00";"5.140.000,00";"5.140.000,00";"0,00";"0,00";"0,00";
"2020";"Emenda Individual - Transferências Especiais";"MARINA SANTOS";"0004";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202041620004";"5.140.227,00";"5.140.227,00";"5.140.227,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"LUIZIANNE LINS";"0005";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202237100005";"5.150.000,00";"2.450.000,00";"2.450.000,00";"2.700.000,00";"0,00";"2.700.000,00";
"2021";"Emenda Individual - Transferências Especiais";"VILSON DA FETAEMG";"0007";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202141760007";"5.160.000,00";"5.088.000,00";"5.088.000,00";"144.000,00";"0,00";"72.000,00";
"2023";"Emenda Individual - Transferências Especiais";"MARIA DO ROSARIO";"0016";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202319830016";"5.164.321,00";"5.164.321,00";"5.164.321,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"DANIEL SILVEIRA";"0009";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202139500009";"5.169.661,00";"5.169.661,00";"5.169.661,00";"0,00";"0,00";"0,00";
"2020";"Emenda Individual - Transferências Especiais";"KATIA ABREU";"0009";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202023590009";"5.170.000,00";"5.170.000,00";"5.170.000,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"NEREU CRISPIM";"0010";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202141210010";"5.180.000,00";"5.157.500,00";"5.157.500,00";"45.000,00";"0,00";"22.500,00";
"2022";"Emenda Individual - Transferências Especiais";"PLINIO VALERIO";"0017";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202241370017";"5.189.000,00";"1.470.000,00";"1.470.000,00";"3.719.000,00";"0,00";"3.719.000,00";
"2022";"Emenda Individual - Transferências Especiais";"FELIPE RIGONI";"0005";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239830005";"5.190.959,00";"2.595.479,50";"2.595.479,50";"2.595.479,50";"0,00";"2.595.479,50";
"2020";"Emenda Individual - Transferências Especiais";"DANIEL ALMEIDA";"0001";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202013390001";"5.200.000,00";"5.200.000,00";"5.200.000,00";"0,00";"0,00";"0,00";
"2020";"Emenda Individual - Transferências Especiais";"EDUARDO CURY";"0002";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202030890002";"5.200.000,00";"5.200.000,00";"5.200.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"RENAN CALHEIROS";"0006";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202222890006";"5.204.000,00";"2.602.000,00";"2.602.000,00";"2.602.000,00";"0,00";"2.602.000,00";
"2023";"Emenda Individual - Transferências Especiais";"RODRIGO MAIA";"0005";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202335780005";"5.204.139,00";"5.204.139,00";"5.204.139,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"CARLA ZAMBELLI";"0001";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239280001";"5.209.365,00";"2.519.682,50";"2.519.682,50";"2.689.682,50";"0,00";"2.689.682,50";
"2022";"Emenda Individual - Transferências Especiais";"LOURIVAL GOMES";"0005";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202238610005";"5.210.000,00";"2.605.000,00";"2.605.000,00";"2.605.000,00";"0,00";"2.605.000,00";
"2021";"Emenda Individual - Transferências Especiais";"AIRTON FALEIRO";"0002";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202139010002";"5.239.993,00";"5.194.993,00";"5.194.993,00";"90.000,00";"0,00";"45.000,00";
"2023";"Emenda Individual - Transferências Especiais";"JOSE NUNES";"0008";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202327450008";"5.245.538,00";"5.245.538,00";"5.245.538,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"JUNIO AMARAL";"0006";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202439240006";"5.250.000,00";"5.250.000,00";"5.250.000,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"RUBENS BUENO";"0001";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202118760001";"5.250.000,00";"5.250.000,00";"5.250.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"ROMARIO";"0010";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202337990010";"5.260.261,00";"5.260.261,00";"5.260.261,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"REINHOLD STEPHANES JUNIOR";"0004";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202141920004";"5.279.986,00";"5.279.986,00";"5.279.986,00";"0,00";"0,00";"0,00";
