municipio,sigla_municipio,prefeito_eleito_2024,sigla_partido_prefeito_eleito,porcentagem_votos_validos_2024,emendas_pix_per_capita_partido_prefeito_eleito,idhm_2010,alfabetizacao_2010,pib_per_capita_2021,densidade_demografica_2010
BURITINOPOLIS - GO,GO,MARCILENE,UNIÃO,0.5049180327868853,0.0,0.704,81.31,28267.090620031795,12.76354208082841
BURITIRAMA - BA,BA,DR.LÉO,MDB,0.49891841779975277,0.0,0.565,73.95,7912.042472816376,4.839887737914384
BURITIRANA - MA,MA,TONY BRANDÃO,MDB,0.8318784718285909,11615.188109614492,0.583,71.55,9482.659854466636,15.743214907886449
BURITIS - MG,MG,RUFINO FOLADOR,PL,0.5019780500255232,4369.538077403246,0.672,84.92,48440.074906367045,4.599004601816146
BURITIS - RO,RO,VALTAIR FRITZ,PL,0.45718423372371236,15906.144612746499,0.616,90.15,34529.579879965706,8.570870991332805
BURITIZAL - SP,SP,DANIEL SARRETA,PL,0.6817509612540669,0.0,0.735,94.2,56126.7217630854,16.348807976141604
BURITIZEIRO - MG,MG,PEDRO BRAGA,PSD,0.8922174977451359,0.0,0.624,86.19,30787.536595566708,3.3118801076719744
BUTIA - RS,RS,CARRAPICHO,PSDB,0.5825561772803979,0.0,0.689,91.53999999999999,28471.337245860406,25.37578942539836
CAAPIRANGA - AM,AM,MATULINHO BRAZ,UNIÃO,0.5409775817714075,0.0,0.569,84.93,13207.66203875566,1.4242934324878085
CAAPORA - PB,PB,CHICO NAZARIO,UNIÃO,0.4966810124735575,9437.078280564338,0.602,76.14,22041.570329825885,140.26147208280256
CAARAPO - MS,MS,PROFESSORA LURDES,PL,0.5533201535062217,1965.6768587482034,0.692,87.8,68537.99163726643,13.024170781297068
CAATIBA - BA,BA,DR HUMBERTO,PSD,0.6857719475277497,9669.6212731668,0.561,70.0,12473.972602739726,12.107438622977655
CABACEIRAS - PB,PB,RICARDO AIRES,REPUBLICANOS,0.8565283400809717,0.0,0.611,81.96000000000001,21834.48922211809,11.36741869749856
CABACEIRAS DO PARAGUACU - BA,BA,PEDRO DE PAULINHO,PSD,0.6439861381117403,0.0,0.581,73.5,8527.024578778912,74.59224860914395
CABECEIRA GRANDE - MG,MG,ELBER OLIVEIRA,PSDB,0.45675020210185935,0.0,0.648,85.39,72036.81907348725,6.41356380384237
CABECEIRAS - GO,GO,JACO ROTTA,PL,0.5322848933918041,7010.58201058201,0.668,86.98,62954.89417989418,6.71595620090106
CABECEIRAS DO PIAUI - PI,PI,PROF ZE FILHO NELSON,PP,0.588875,14804.151978065021,0.583,66.37,8434.586760673717,16.782079071230697
CABEDELO - PB,PB,ANDRE COUTINHO,AVANTE,0.662448656784958,0.0,0.748,89.33,47393.16586238518,2240.327528781349
CABIXI - RO,RO,SILVANO DE ALMEIDA,MDB,0.6385792066372828,43200.93440478415,0.65,86.37,44554.66267987292,4.071091303984318
CABO VERDE - MG,MG,CLAUDINHO,MDB,1.0,17528.483786152497,0.674,89.59,25490.184049079755,30.976469117762164
CABRALIA PAULISTA - SP,SP,ALEMÃO DO LEITE,REPUBLICANOS,0.36874795684864337,0.0,0.694,90.33,23931.612002791346,17.93933168477554
CABREUVA - SP,SP,MANGINI,PL,0.5966396159561093,2552.5940737274254,0.738,93.78,126807.19406096444,180.6275883309469
CABROBO - PE,PE,GALEGO DE NANAI,AVANTE,0.6847290640394089,8087.4100481943615,0.623,76.28999999999999,14552.815739090249,18.270940996499736
CACADOR - SC,SC,ALENCAR,PL,0.5504405634991821,1288.659793814433,0.735,94.07,63794.19424850787,74.9655371988139
CACAPAVA - SP,SP,YAN LOPES,PODE,0.34386911725855757,311.8438286106318,0.788,95.84,54204.205733768526,260.74643714449826
CACAPAVA DO SUL - RS,RS,MARCELO SPODE,PP,0.5474979930425475,1076.4262648008612,0.704,91.76,34527.66415500538,10.66753015571746
CACAULANDIA - RO,RO,DANIELZINHO,PL,0.5632072421597155,96385.5421686747,0.646,86.78,66346.50602409638,2.1148639894071133
CACEQUI - RS,RS,ANA PAULA DELOLMO,MDB,0.7538973815650069,1792.5965761405396,0.7,92.49,55847.0018822264,4.700653523936314
CACERES - MT,MT,ELIENE LIBERATO,PSB,0.5205785696720395,0.0,0.708,89.82,25252.55070750772,3.660989875197534
CACHOEIRA - BA,BA,ELIANA,PT,0.40809451740467706,0.0,0.647,83.99,16385.606837606836,74.11634323715464
CACHOEIRA ALTA - GO,GO,MARCELO PAULA,MDB,0.653207869974337,0.0,0.71,88.96000000000001,24466.16867888474,6.944780544716537
CACHOEIRA DA PRATA - MG,MG,CLECINHO,REPUBLICANOS,0.7372644801116539,0.0,0.741,96.11,14043.866774979691,60.20677595273789
CACHOEIRA DE MINAS - MG,MG,MARISTELA COSTA,UNIÃO,0.5733908948194663,5890.76832449718,0.706,91.43,45191.36581671296,39.05146640770038
CACHOEIRA DE PAJEU - MG,MG,GERALDO DUARTE,AVANTE,0.7378394217620629,0.0,0.578,72.57,13786.827661909989,13.09873136501958
CACHOEIRA DO ARARI - PA,PA,JAIME BARBOSA,MDB,0.6127788133958989,3335.97431299779,0.546,86.36,10668.028856177809,7.735315916454967
CACHOEIRA DO PIRIA - PA,PA,BETE BESSA,MDB,0.7643072289156626,0.0,0.473,71.17,11596.230259806418,8.111495014107682
CACHOEIRA DO SUL - RS,RS,BALARDIN,PSDB,0.402203078661206,624.4536030972898,0.742,92.51,44244.94817035095,21.429982687546257
CACHOEIRA DOS INDIOS - PB,PB,ALYSON FRANCISCO,PP,0.5332426715019644,0.0,0.587,72.73,13639.055840891706,47.42652263919692
CACHOEIRA DOURADA - GO,GO,RODRIGO RODRIGUES,MDB,0.7665382682967677,3855.0501156515033,0.698,85.07,8925.083526085838,14.73402723432024
CACHOEIRA DOURADA - MG,MG,CANDANGO,PP,0.5574516496018203,62634.98920086393,0.726,87.8,116466.09071274298,11.38417774109298
CACHOEIRA GRANDE - MA,MA,CESAR CASTRO,PL,0.7174384236453202,11302.918207973695,0.537,69.59,6267.159884915742,13.760402296791092
CACHOEIRA PAULISTA - SP,SP,BRENO ANAYA,PP,0.36624754873687854,0.0,0.764,95.82,21341.78177670764,109.58972324304388
CACHOEIRAS DE MACACU - RJ,RJ,RAFAEL MIRANDA,PP,0.8734658259205045,3073.248687283775,0.7,90.69,22926.681067031943,59.64880832208011
CACHOEIRINHA - PE,PE,ANDRÉ RAIMUNDO,PSDB,0.6048441862219874,0.0,0.579,67.87,12783.004171063872,110.9144463484687
CACHOEIRINHA - RS,RS,CRISTIAN WASEM,MDB,0.7185726856206572,0.0,0.757,97.06,47398.87566234643,3118.69401750974
CACHOEIRO DE ITAPEMIRIM - ES,ES,FERRAÇO,PP,0.4280517067884511,53.82536897290431,0.746,94.29,33086.260536315975,214.96681712776697
CACIMBA DE AREIA - PB,PB,HEITOR CAMPOS,REPUBLICANOS,0.7317590872910587,16712.24551807961,0.596,73.17,11882.710422364024,15.450033833742156
CACIMBA DE DENTRO - PB,PB,POLLYANNO,PSB,0.6161209518697441,0.0,0.564,61.16,9588.894422310756,97.16211525719989
CACIMBAS - PB,PB,NILTON DE ALMEIDA,REPUBLICANOS,0.6255448171309456,40149.522359130555,0.523,63.89,9290.184134016336,58.10247994236861
CACIMBINHAS - AL,AL,VAVAL WANDERLEY,MDB,1.0,56286.96813585194,0.531,59.39,13400.209883609998,37.1779209792781
CACIQUE DOBLE - RS,RS,MARCIO CAPRINI,MDB,1.0,0.0,0.662,89.87,36766.23940908104,22.555888029745397
CACOAL - RO,RO,ADAILTON FÚRIA,PSD,0.8316124235916075,0.0,0.718,91.71000000000001,32138.098910078606,22.9129361626635
CACONDE - SP,SP,ZÉ AFONSO,MDB,0.5909771220868077,0.0,0.72,92.21,33588.38664405591,36.51387255488669
CACU - GO,GO,KELSON VILARINHO,UNIÃO,0.5300307401276898,0.0,0.73,91.07,65673.87832147525,6.110663151546894
CACULE - BA,BA,PEDRÃO,PSB,0.5259206980623636,0.0,0.637,79.83,16217.879084676342,36.75528776992092
CAEM - BA,BA,ARNALDINHO OLIVEIRA,PSB,0.6119854721549637,19838.145223420648,0.546,74.84,8888.097072419107,19.204558199743246
CAETANOPOLIS - MG,MG,JOÃOZINHO PROCÓPIO,PSD,0.6808825707093143,3235.6799300393527,0.706,94.82,27570.091823349365,73.40439042032168
CAETANOS - BA,BA,EDAS JUSTINO,PC do B,0.5503674392312041,0.0,0.542,72.96000000000001,9104.473637493344,14.690980932847443
CAETE - MG,MG,ALBERTO PIRES,AVANTE,0.4715915915915916,0.0,0.728,94.88,27721.7350938725,71.55062342827081
CAETES - PE,PE,TIRRI,REPUBLICANOS,0.6810392867093898,2948.6245533701044,0.522,61.37,14698.962777951228,97.51923941810396
CAETITE - BA,BA,VALTÉCIO AGUIAR,PDT,0.6467904855001629,0.0,0.625,79.58,21123.01007459817,19.622420364404828
CAFARNAUM - BA,BA,CARLAN NOVAIS,PSD,0.6294736842105263,3435.2456200618344,0.584,78.18,12446.868201076377,27.135623609881563
CAFEARA - PR,PR,ELTON LAZARETTI,PRD,0.4551863041289023,0.0,0.693,84.42,43417.96726303769,13.099739235847366
CAFELANDIA - PR,PR,JUNIOR MOTTER,NOVO,0.49697619976589935,0.0,0.748,95.58,102609.62257198503,61.91127997291389
CAFELANDIA - SP,SP,TAIS CONTIERI,PODE,0.5740909090909091,1801.3690404707577,0.742,92.9,40983.78767863577,18.10146202900852
CAFEZAL DO SUL - PR,PR,MINORU,PP,0.6550825369244135,21229.689246590657,0.692,84.68,33309.859154929574,12.463040498275506
CAIABU - SP,SP,SUELEN MATIVE,REPUBLICANOS,0.7336849044166117,13469.827586206897,0.729,87.52,18805.49568965517,14.651610027361349
CAIANA - MG,MG,VINICIUS ARAUJO,UNIÃO,0.44574780058651026,0.0,0.633,86.6,16714.932126696833,49.86125181460521
CAIAPONIA - GO,GO,ARGEMIRO RODRIGUES,UNIÃO,0.6991748682771647,0.0,0.693,85.2,49757.94828317084,1.913966269083374
CAIBATE - RS,RS,DANIEL,PP,0.5780110819480898,6377.551020408163,0.719,93.05,56316.96428571428,18.003340063056346
CAIBI - SC,SC,EDER PICOLI,PP,0.5984832069339111,37277.918781725886,0.728,91.61,50244.92385786802,36.41026778256192
CAICARA - PB,PB,TARCISINHO,PL,0.6805787423483584,12874.886398061193,0.592,65.84,9945.62253862466,53.37178104409362
CAICARA - RS,RS,ZÍLIO ROGGIA,MDB,0.45759162303664924,0.0,0.699,92.41,31604.631927212573,25.513274168094483
CAICARA DO NORTE - RN,RN,PILOLA,PSDB,0.5741529722053155,0.0,0.574,74.48,17825.838232957252,27.822215877594157
CAICARA DO RIO DO VENTO - RN,RN,CEICA LISBOA,UNIÃO,1.0,31781.609547123622,0.587,74.35,18499.69400244798,12.518072673097391
CAICO - RN,RN,DR. TADEU ,PSDB,0.7492708099618578,10957.380695384816,0.71,84.66,22811.77836653256,49.77768346893942
CAIEIRAS - SP,SP,GILMAR LAGOINHA,PL,0.6285123464298747,1525.8018351713108,0.781,96.07,51128.651401633135,973.1409878632362
CAIRU - BA,BA,HILDÉCIO MEIRELES,UNIÃO,0.7514092894005557,0.0,0.627,84.47,84766.73610720117,39.56832928799651
CAIUA - SP,SP,JAYME,REPUBLICANOS,0.33583489681050654,0.0,0.697,88.28999999999999,17609.769484083427,9.936489743640102
CAJAMAR - SP,SP,KAUAN,PSD,0.9449760765550239,6473.260041644639,0.728,94.81,245046.9850791356,706.3013305297483
CAJAPIO - MA,MA,DR RÔMULO,PSB,0.5055899143672693,0.0,0.553,74.42,6982.808022922636,18.5722688207077
CAJARI - MA,MA,CONSTANCIO SOUZA,UNIÃO,0.6083606791268369,0.0,0.523,78.26,7805.934681940043,24.75690556982105
CAJATI - SP,SP,LUIZ KOGA,PL,0.4592804181354078,420.8311415044713,0.694,90.06,61554.48009819393,62.78395769539679
CAJAZEIRAS - PB,PB,CORRINHA,PP,0.5307933059155221,2451.01914957542,0.679,80.55,19477.53759547115,112.36937079074929
CAJAZEIRAS DO PIAUI - PI,PI,ALBERTO,PP,0.6845617227782833,52824.967824967825,0.562,69.39,10998.0694980695,6.044771385627183
CAJAZEIRINHAS - PB,PB,LUANA PIRES,PSB,0.8056169138529504,0.0,0.55,65.19,15331.751824817518,9.695513053829329
CAJOBI - SP,SP,ITALIANO BARBARELLI,PP,0.5379502241459267,3613.2705573196104,0.734,92.18,18714.113653782984,51.66968212746163
CAJUEIRO - AL,AL,LUCILA TOLEDO,MDB,0.5382326420198377,2496.255616575137,0.562,66.14,12972.35396904643,170.50293662699636
CAJUEIRO DA PRAIA - PI,PI,FELIPE RIBEIRO,PT,0.6622883367621459,25135.101168782203,0.546,67.33,14499.937162247075,29.28018393027488
CAJURI - MG,MG,LUCAS LADEIRA,PSD,0.5235409514467877,0.0,0.617,88.47,23806.50684931507,49.23373185572836
CAJURU - SP,SP,ALEX MORETINI,MDB,0.48799036217152325,2098.1955518254304,0.713,94.03,31965.96726814939,36.10775254077996
CALCADO - PE,PE,ZÉ ELIAS FILHO,PP,0.631359714370723,0.0,0.566,67.62,10393.851978725324,90.8922261796622
CALCOENE - AP,AP,TOINHO GARIMPEIRO,PSD,0.38497848118839373,2826.9883151149643,0.643,87.03,17385.60120618168,0.7517937916012437
CALDAS - MG,MG,AILTON GOULART,MDB,0.7619918964841197,1758.4581838643876,0.687,91.91,23750.65062952803,19.976332849130998
CALDAS BRANDAO - PB,PB,FÁBIO ROLIM,MDB,1.0,0.0,0.568,64.12,12985.572744654964,102.64678820733972
CALDAS NOVAS - GO,GO,KLEBER MARRA,MDB,0.6030113767795933,405.58901664942914,0.733,94.43,30428.16004542597,61.29588411200924
CALDAZINHA - GO,GO,SOLANGE GOUVEIA,UNIÃO,1.0,28844.02041269137,0.685,89.51,18779.232305302863,17.91257868028584
CALDEIRAO GRANDE - BA,BA,PEDRO HENRIQUE,PP,0.6739438281803163,13761.467889908257,0.573,70.74,7796.788990825688,28.54319131789096
CALDEIRAO GRANDE DO PIAUI - PI,PI,FILIPE GONÇALVES,PSD,1.0,21442.849354897327,0.588,65.25,35449.57296020353,11.7894395986501
CALIFORNIA - PR,PR,PAULO DA PADARIA,PSDB,0.3772402992865843,0.0,0.722,91.32,29072.56027554535,56.125564131123056
CALMON - SC,SC,TIKE,MDB,0.6034122562674095,0.0,0.622,89.16,28372.0592506535,5.40850013048272
CALUMBI - PE,PE,JOELSON,AVANTE,0.7447359896339488,34774.2922723795,0.571,67.4,9621.270084162205,29.1254048441621
CAMACHO - MG,MG,JOÃO PAULO DA OFICINA,PP,0.6643884892086331,56377.73079633545,0.69,86.91,24973.22057787174,12.732224114622763
CAMALAU - PB,PB,BIRA MARIANO,PSB,0.5218824391137155,0.0,0.567,70.27,11773.541495480693,11.240810785610146
CAMAMU - BA,BA,IRMÃO JAIRO,AVANTE,0.5170653907496012,0.0,0.565,73.35,15373.10052840592,36.295770177117376
CAMANDUCAIA - MG,MG,RODRIGÃO,MDB,0.6733528776423392,0.0,0.689,89.2,37949.68770356746,49.391834628592015
CAMAPUA - MS,MS,MANOEL NERY,PP,0.5285594539576098,5153.500699403667,0.703,89.43,46900.242950747255,1.909907626332899
CAMAQUA - RS,RS,ABNER DILLMANN,PSDB,0.6305897786903947,6446.945337620578,0.697,92.95,43788.77813504823,37.03322424118672
CAMARAGIBE - PE,PE,DIEGO CABRAL,REPUBLICANOS,0.45388966397369757,0.0,0.692,89.21000000000001,15088.752190889958,2888.4239605601583
CAMARGO - RS,RS,JEANICE,MDB,0.6736706689536878,33545.79000335458,0.736,91.43,174599.46326735994,21.59834886027948
CAMBARA - PR,PR,WALCIR JOAQUIM,PSD,0.5476711472335105,0.0,0.721,91.41,35287.049801826644,59.40883053629663
CAMBARA DO SUL - RS,RS,SCHAMBERLAEN SILVESTRE,PP,0.518667560921082,0.0,0.697,93.11,38134.884452130165,5.380788979576075
CAMBE - PR,PR,CONRADO SCHELLER,PSD,0.7350024838549428,1026.042832624431,0.734,93.62,46918.830684277294,192.41949760109603
CAMBIRA - PR,PR,ANA LUCIA,MDB,0.39166505884622804,5285.412262156448,0.725,91.1,29622.515856236787,51.20340890858932
CAMBORIU - SC,SC,LEONEL PAVAN,PSD,0.44466633383258447,0.0,0.726,95.96,21752.333275122728,489.8463660976613
CAMBUCI - RJ,RJ,MURILLO DEFANTI,PP,0.5471377290761383,0.0,0.691,87.31,27405.788177339906,26.18582594477413
CAMBUI - MG,MG,CINTHIA PEREIRA,NOVO,0.4579551521623065,0.0,0.751,92.72,63167.625947995664,120.94731173638924
CAMBUQUIRA - MG,MG,CIMARA DA SAÚDE,REPUBLICANOS,0.3967290952255342,812.1497604158207,0.699,90.81,30119.54844473321,49.96102620007353
CAMETA - PA,PA,VICTOR CASSIANO,MDB,0.5580899428367274,3204.5549394860786,0.577,89.47,10386.40970607524,43.5343124596541
CAMOCIM - CE,CE,BETINHA,PSB,0.5430311698559874,0.0,0.62,73.51,13469.499085453905,55.6124816447691
CAMOCIM DE SAO FELIX - PE,PE,SOSTENES,PSD,0.6438522598412442,0.0,0.588,68.05,10400.19518916126,241.10896728641924
CAMPANARIO - MG,MG,FAUSTO DUARTE,REPUBLICANOS,1.0,65001.71057133083,0.616,82.26,18290.79712624016,6.6107001012404
CAMPANHA - MG,MG,ROBERTO SILVA,PT,0.6498077147185642,17257.60903671164,0.709,92.05,27604.45560087857,47.48784154727483
CAMPESTRE - AL,AL,NETO DE PINO,MDB,0.6886980830670927,32558.13953488372,0.559,67.59,13167.141785446362,101.17988923925724
CAMPESTRE - MG,MG,ELIANA MUNIZ IRMÂ DO ZETINHO,UNIÃO,0.5677302333250887,724.7777348279861,0.698,91.43,23501.739466563587,35.8297761181583
CAMPESTRE DA SERRA - RS,RS,TAIRO BALARDIN,PP,0.5836531082118189,10795.8050586058,0.706,93.58,63140.65391733498,6.024273296778625
CAMPESTRE DE GOIAS - GO,GO,ESMERALDO,PDT,0.6411631846414455,25299.600532623168,0.653,87.25,19370.705725699067,13.775907410550865
CAMPESTRE DO MARANHAO - MA,MA,FERNANDO BERMUDA,PSB,0.5461214672279013,0.0,0.652,78.74,17400.048776522235,20.04848957852752
CAMPINA DA LAGOA - PR,PR,PADRE GIANNY,PP,0.4593608638552459,8904.153151434204,0.704,86.97,36786.80913311709,17.582326999455628
CAMPINA DAS MISSOES - RS,RS,CARLOS JUSTEN,PL,0.5798241554835725,17001.02006120367,0.738,95.94,40660.9996599796,26.167332439371062
CAMPINA DO MONTE ALEGRE - SP,SP,MARCELO TURMEIRO,MDB,0.45918104558331185,0.0,0.717,91.72,25375.71380584481,32.31191426388942
CAMPINA DO SIMAO - PR,PR,ANDRÉ,PSD,0.7917329093799682,0.0,0.63,88.07,38207.06300813008,7.79216538346245
CAMPINA GRANDE DO SUL - PR,PR,LUIZ ASSUNÇÃO,PSB,0.6138899030465296,836.382645060115,0.718,94.02,45501.68322007318,67.77195649776111
