municipio,sigla_municipio,prefeito_eleito_2024,sigla_partido_prefeito_eleito,porcentagem_votos_validos_2024,emendas_pix_per_capita_partido_prefeito_eleito,idhm_2010,alfabetizacao_2010,pib_per_capita_2021,densidade_demografica_2010,cluster_0,cluster_1,cluster_2,cluster_3
CUNHA - SP,SP,RODRIGO DO NETO,PL,0.5436398386069229,0.0,0.684,89.55,14760.832202623247,15.708940883203304,False,False,True,False
CUNHA PORA - SC,SC,LUZIA VACARIN,PSDB,0.6242874187988864,0.0,0.742,95.12,84680.36154478225,49.74038100711491,False,False,True,False
CUPARAQUE - MG,MG,ROGERIO MENDES,REPUBLICANOS,0.6380895876594482,15064.022093899071,0.627,78.48,18592.518202360032,17.580089237377106,True,False,False,False
CUPIRA - PE,PE,EDUARDO LIRA,UNIÃO,0.6145456978455774,4252.062250191343,0.592,69.31,12057.828046602604,246.8164842059564,True,False,False,False
CURACA - BA,BA,MURILO BOMFIM,PT,0.5455820476858345,0.0,0.581,75.28,10392.656524283206,5.744134552261887,True,False,False,False
CURIMATA - PI,PI,ADELMO DA CINCAL,MDB,0.5712509326038299,0.0,0.607,81.53999999999999,12545.69653948536,4.807037429490438,True,False,False,False
CURIONOPOLIS - PA,PA,MARIANA CHAMON,MDB,1.0,0.0,0.636,82.02,183826.61654135337,8.421506037315726,False,False,False,True
CURITIBANOS - SC,SC,KLEBERSON,MDB,0.5850316233309909,2372.3311274815837,0.721,92.05,46825.17168185791,42.16174640911251,False,False,True,False
CURIUVA - PR,PR,CHRISTIANO BORGES,PSD,0.4854679802955665,6961.236901883198,0.656,86.4,20228.108741848024,21.174437076760046,False,False,True,False
CURRAIS - PI,PI,DR RAIMUNDO SOBRINHO,MDB,0.8493738819320215,21348.31067161104,0.542,67.27000000000001,84263.08199423156,1.5371542936646378,True,False,False,False
CURRAIS NOVOS - RN,RN,LUCAS,PT,0.5065684713375797,7261.636772928618,0.691,82.13,19466.77801176385,47.81748332479718,False,False,True,False
CURRAL DE CIMA - PB,PB,ADJAMIR,PSB,0.5589819803083782,0.0,0.529,59.5,10568.328892272555,60.76579184106728,True,False,False,False
CURRAL DE DENTRO - MG,MG,ADAILDO ROCHA TAMPINHA,UNIÃO,0.5315931593159315,6559.438293275723,0.585,75.64,10863.219011612206,12.987167360748645,True,False,False,False
CURRAL NOVO DO PIAUI - PI,PI,JUNINHO DE MARINALVA,MDB,0.9914021164021164,21683.42203824167,0.527,64.55,15453.18352059925,6.715278316834629,True,False,False,False
CURRAL VELHO - PB,PB,TÁCIO SAMUEL BARBOSA DINIZ,MDB,0.8892875448487955,104712.04188481676,0.606,65.08,11685.42757417103,10.546081057933067,True,False,False,False
CURRALINHO - PA,PA,CLEBER EDSON,PSD,0.6716170858430273,589.9182963159602,0.502,78.4,8332.949886440729,9.37125647434666,True,False,False,False
CURRALINHOS - PI,PI,EVERARDO ARAÚJO,PT,0.7341252699784018,33537.27622932246,0.555,68.93,8987.083616587355,12.764302814036052,True,False,False,False
CURUA - PA,PA,JAIR DAMASCENO,UNIÃO,0.4945555335577113,0.0,0.578,85.57,10605.44024934476,9.869164928171356,True,False,False,False
CURUCA - PA,PA,HAMILTON  BRITO,MDB,0.6061359278460337,605.8843487955019,0.582,89.17,8961.683873782173,61.03607635081834,True,False,False,False
